TIME,X,Y,Z
47825,1.04,-0.04,0.16
47854,1.06,-0.02,0.13
47881,0.96,-0.05,0.14
47909,0.91,-0.07,0.15
47937,0.90,-0.05,0.16
47964,0.78,-0.06,0.13
47992,0.65,-0.09,0.11
48019,0.61,-0.07,0.10
48050,0.60,-0.05,0.09
48078,0.60,-0.04,0.08
48106,0.57,-0.05,0.09
48134,0.45,-0.02,0.12
48161,0.12,-0.05,0.04
48189,0.04,-0.03,0.00
48219,0.00,-0.02,-0.02
48247,0.00,-0.01,-0.02
48276,0.00,-0.01,-0.01
48304,0.00,-0.02,0.00
48332,0.00,-0.02,0.00
48360,0.03,-0.02,0.00
48388,0.03,-0.01,0.00
48418,0.03,-0.01,-0.02
48446,0.00,-0.01,-0.01
48474,0.00,-0.01,-0.01
48502,0.00,-0.01,-0.01
48530,0.01,-0.01,-0.01
48558,0.00,-0.01,-0.01
48591,0.00,-0.02,-0.01
48619,0.00,-0.02,-0.01
48647,0.00,-0.01,-0.01
48675,0.00,-0.01,-0.01
48703,0.00,-0.01,-0.01
48731,0.00,-0.01,-0.01
48759,0.00,-0.02,-0.01
48790,0.00,-0.02,-0.01
48818,0.00,-0.01,-0.01
48846,0.00,-0.01,-0.01
48874,0.00,-0.02,-0.02
48902,0.00,-0.02,0.00
48931,0.00,-0.01,-0.02
48961,0.00,-0.02,-0.01
48990,0.00,-0.01,-0.01
49018,0.00,-0.02,0.00
49046,0.00,-0.01,-0.01
49074,0.00,-0.01,-0.01
49102,0.00,-0.02,-0.01
49131,0.00,-0.01,-0.02
49161,0.00,-0.01,-0.01
49189,0.00,-0.01,0.00
49217,0.00,-0.01,-0.01
49246,0.00,-0.02,-0.01
49274,0.00,-0.02,-0.01
49302,0.00,-0.01,-0.01
49332,0.00,-0.01,-0.02
49361,0.00,-0.01,-0.01
49389,0.00,-0.02,-0.01
49420,0.01,-0.01,-0.01
49450,0.00,-0.02,-0.01
49476,0.00,-0.02,0.00
49504,0.00,-0.02,-0.01
49531,0.00,-0.01,-0.01
49559,0.00,-0.01,-0.01
49587,0.00,-0.01,0.00
49616,0.00,-0.01,-0.01
49644,0.00,-0.01,-0.02
49672,0.00,-0.02,-0.01
49702,0.00,-0.01,0.00
49731,0.00,-0.01,-0.01
49759,0.00,-0.02,-0.01
49787,0.00,-0.02,-0.01
49815,0.00,-0.02,-0.01
49843,0.00,-0.01,-0.01
49873,0.00,-0.01,-0.01
49901,0.00,-0.02,0.00
49929,0.00,-0.01,-0.01
49957,0.00,-0.01,-0.01
49986,0.00,-0.01,-0.01
50014,0.01,-0.02,0.00
50042,0.00,-0.01,0.00
50072,0.00,-0.01,-0.02
50100,0.00,-0.01,-0.02
50128,0.00,-0.02,-0.01
50156,-0.01,-0.02,-0.01
50184,-0.04,-0.02,-0.02
50212,-0.03,-0.01,-0.02
50245,-0.03,-0.02,-0.01
50273,-0.04,-0.02,-0.02
50301,-0.11,-0.01,-0.02
50329,-0.25,0.00,-0.05
50357,-0.35,0.00,-0.07
50385,-0.41,0.00,-0.08
50413,-0.52,-0.01,-0.11
50443,-0.72,0.00,-0.15
50471,-0.86,0.00,-0.16
50499,-0.99,0.00,-0.15
50526,-1.07,-0.03,-0.17
50554,-1.11,-0.02,-0.07
50582,-1.50,0.04,0.15
50612,-1.81,-0.02,0.03
50640,-1.82,-0.07,-0.05
50668,-1.72,-0.05,-0.08
50696,-1.82,-0.04,-0.02
50724,-1.78,-0.07,-0.12
50752,-1.59,-0.10,-0.22
50779,-1.38,-0.18,-0.21
50809,-1.30,-0.18,-0.16
50837,-1.19,-0.16,-0.19
50864,-1.12,-0.13,-0.11
50892,-0.97,-0.12,-0.08
50919,-0.85,-0.05,0.00
50947,-0.87,-0.03,0.00
50978,-0.81,-0.04,-0.08
51005,-0.64,0.00,-0.08
51033,-0.58,-0.01,-0.05
51064,-0.60,-0.02,0.00
51093,-0.54,-0.05,-0.01
51123,-0.37,-0.03,-0.02
51151,-0.20,0.00,-0.03
51179,-0.12,0.01,-0.04
51207,-0.09,-0.02,-0.04
51235,-0.03,0.00,-0.01
51263,0.06,0.03,0.01
51291,0.22,0.02,0.00
51319,0.42,0.03,0.00
51349,0.66,0.06,0.03
51377,0.80,0.06,0.04
51405,0.86,0.05,0.11
51433,1.01,0.11,0.21
51460,1.16,0.08,0.18
51488,1.41,0.03,0.04
51516,1.44,0.03,0.03
51546,1.35,0.06,0.16
51574,1.40,0.14,0.12
51601,1.50,0.16,0.03
51629,1.56,0.12,-0.01
51656,1.52,0.09,0.00
51684,1.48,0.09,0.03
51712,1.49,0.03,-0.02
51742,1.44,-0.09,-0.13
51770,1.28,0.04,-0.01
51798,1.12,0.18,0.13
51825,1.21,0.13,-0.02
51853,1.15,0.10,0.15
51881,1.04,0.01,0.21
51912,0.80,-0.10,0.18
51943,0.74,-0.16,0.12
51971,0.68,-0.10,0.10
51998,0.61,-0.04,0.08
52026,0.59,0.02,0.08
52054,0.61,0.01,0.10
52082,0.55,-0.01,0.10
52112,0.20,-0.08,0.06
52140,0.07,-0.05,0.00
52168,0.02,-0.02,-0.01
52196,0.00,-0.02,-0.03
52224,0.00,-0.02,-0.03
52252,0.01,-0.01,-0.01
52280,0.03,-0.02,0.00
52311,0.04,-0.01,0.00
52339,0.02,-0.02,-0.01
52367,0.00,-0.02,0.00
52395,0.00,-0.01,0.00
52423,0.01,0.00,-0.01
52451,0.00,-0.01,-0.02
52482,-0.01,-0.02,-0.01
52510,0.00,-0.02,-0.01
52538,0.01,-0.01,-0.02
52566,0.00,-0.01,-0.01
52594,0.00,-0.02,0.00
52623,0.01,-0.02,0.00
52651,0.01,-0.01,-0.01
52681,0.00,-0.02,-0.01
52713,0.00,-0.02,-0.01
52741,0.00,-0.01,-0.01
52770,0.00,-0.01,-0.01
52798,0.00,-0.01,-0.02
52826,0.00,-0.02,-0.01
52856,0.01,-0.01,-0.01
52884,0.01,-0.01,-0.01
52912,0.00,-0.01,0.00
52941,0.01,-0.01,-0.01
52969,0.00,-0.01,-0.02
52997,0.00,-0.01,-0.01
53025,0.00,-0.01,-0.01
53055,0.00,-0.01,-0.01
53083,0.01,-0.01,-0.01
53112,0.01,-0.01,-0.01
53139,0.01,-0.01,-0.01
53168,0.01,-0.01,-0.01
53195,0.01,-0.01,-0.01
53226,0.02,-0.01,-0.02
53254,0.00,-0.02,0.00
53282,0.00,-0.02,0.00
